Student_ID,DID_Address,Full_Name,Degree,Graduation_Year,Email
aa6ff950,did:ethr:0x63a862f4d30f1899a08488edc951b843c39f2194,Jared Smith,B.Sc. Information Technology,2026,grantchristopher@yahoo.com
2c741ff3,did:ethr:0x4bafd31383dee7c2f2e1c4cae0488104ca3e3ccb,Tamara Newton,B.Sc. Information Technology,2026,donald94@gmail.com
e461e51f,did:ethr:0x5afe575f765ff9032d1b223c19fa0f8c6e8bd99b,Linda Rodriguez,B.Sc. Information Technology,2026,jhahn@gmail.com
56ca3a18,did:ethr:0x7079a58751a697f1843d8c84c1cc992fca8e3748,Frank Stewart,B.Sc. Information Technology,2026,marymendoza@hotmail.com
802af4fe,did:ethr:0xbbdb3a07e0a67cf6f008ca4708f0ea1aeb79812a,Christopher Mercado,B.Sc. Information Technology,2026,kennedyjennifer@hotmail.com
f47f54b6,did:ethr:0xa44e2a5f4621c547c3fbb921a07e1a445487a77f,Jason Allison,B.Sc. Information Technology,2026,cristian54@hotmail.com
e8f5b961,did:ethr:0xdd29c2a7ce2b4e44c75299d85697a1fe01b7c538,Lee Everett,B.Sc. Information Technology,2026,brandoncox@hotmail.com
a9ae93f1,did:ethr:0x4a5aa1862887628486f353e86e7649abbbeaa7a4,Darrell Adams,B.Sc. Information Technology,2026,pricewilliam@hotmail.com
6ddae700,did:ethr:0x1fcaa08985abe26ebbcc1aefc26cdcadc23eddf7,Brittany Arellano DVM,B.Sc. Information Technology,2026,hollandchristine@hotmail.com
afbbcfe6,did:ethr:0x99b91247a708c6f444e372745ace3a841bf1ca0e,Kevin Escobar,B.Sc. Information Technology,2026,salaskatie@hotmail.com
bdb1882a,did:ethr:0x007ad707691e0462b1600fc183d80fd361eaac55,Jennifer Robinson,B.Sc. Information Technology,2026,danielsparks@gmail.com
4182d032,did:ethr:0xf85d62261c18c10fa7d02440c291503f7e2bfba5,Kaylee Simon,B.Sc. Information Technology,2026,davidgreen@hotmail.com
8a9c600c,did:ethr:0x2d1d2499d5fd15c815dae6be71ef77e36f0355b0,James Smith,B.Sc. Information Technology,2026,wellsjeremy@yahoo.com
19c5a3ce,did:ethr:0x3e4ba6b794548b48e84de64c0372aa974ffc9499,Melissa Barker,B.Sc. Information Technology,2026,millerbrian@yahoo.com
a5f5c74e,did:ethr:0xb247d9dcbc58d54c26b30dfd9bb9a17db36070ef,Shane Kramer,B.Sc. Information Technology,2026,melissa49@yahoo.com
93df8e25,did:ethr:0xf2857922494be7e52006b349833df5a24b3a1922,Shelly King,B.Sc. Information Technology,2026,whitneybrowning@yahoo.com
6b4dce55,did:ethr:0xf745040b5627d7e8318da204489485f1fbbe503b,Nicole Rodgers,B.Sc. Information Technology,2026,michellewalker@hotmail.com
4f1464e6,did:ethr:0x3503062f5e6faf385aecfff0c4efb034199381f8,Shannon Rodriguez,B.Sc. Information Technology,2026,brendarivera@hotmail.com
1f24a37b,did:ethr:0xf2affd1da6dff6da2d82793f4b3e9af3058118a7,Terrance Pope,B.Sc. Information Technology,2026,dpatel@yahoo.com
77adf501,did:ethr:0xc110796a7227876d8956ae26f5efbf4e606dbcc6,Bryan Simpson,B.Sc. Information Technology,2026,fhoffman@gmail.com
510850d0,did:ethr:0xc9bff4e5ac01cddbd24293fca07fcb4264e7b1d4,Samantha Peterson,B.Sc. Information Technology,2026,michaeldixon@hotmail.com
69b23245,did:ethr:0xfcdecb842b3b56f083b7f75db9cef5bd59ae5235,Brittany Harris,B.Sc. Information Technology,2026,vaguilar@yahoo.com
8726c982,did:ethr:0x3e21773ac47953e12688e8bf8e442ca8c98f723d,Daniel Gutierrez,B.Sc. Information Technology,2026,jamiewells@yahoo.com
da5960de,did:ethr:0xc0c25db71a7770835fe4036c42ed4ad74f4a9383,Sharon Barton,B.Sc. Information Technology,2026,stefanievargas@hotmail.com
24f4b73c,did:ethr:0xb6c700d9e65c88f161fcce5a95f0a1c2f0cefb33,Mrs. Maria Cruz,B.Sc. Information Technology,2026,hannahsmith@yahoo.com
3b598292,did:ethr:0x7930a4ea2f05d958efc687e5a9caf3ced0a7fef4,Monique Reyes,B.Sc. Information Technology,2026,devin73@gmail.com
98ab7d47,did:ethr:0xd37c90f4d09fdc9eb875e14ee0277868e10f5659,Jason Anderson,B.Sc. Information Technology,2026,radams@hotmail.com
a6e502bb,did:ethr:0xa29a385fcab46309d2dddcd9244e5a14d1a397a2,Eric Weaver,B.Sc. Information Technology,2026,brooksjessica@hotmail.com
da2c0240,did:ethr:0xb7855b9a7b337d6f476db3c253b9b9eecfe7328f,Richard Barnes MD,B.Sc. Information Technology,2026,jessicawarren@hotmail.com
19bc830c,did:ethr:0xbbd4334923b002a1650b8e2db84f5eef2775a5c9,Heather Burke,B.Sc. Information Technology,2026,garciaian@gmail.com
2e83ab8f,did:ethr:0x150970ed883e86efbe8a28e101dc96178e2a6970,Kelly Mcclain,B.Sc. Information Technology,2026,ffranklin@hotmail.com
ad217aeb,did:ethr:0xf8e696757b42021c2e244bd36478bd6ba63a6202,Robert Hines,B.Sc. Information Technology,2026,nharris@hotmail.com
7de9f751,did:ethr:0xa20e5787a3e82be2ff0c75453d054d007770eacb,David Miller,B.Sc. Information Technology,2026,darius12@gmail.com
0c016c08,did:ethr:0x8008027e66c195a624e09a0df2e2c87b5ba724a2,Nathan Harris,B.Sc. Information Technology,2026,cheryllyons@yahoo.com
486b42e3,did:ethr:0x6402778fbef192314b1bfd67dba19c02b4b7a039,Eric Zuniga,B.Sc. Information Technology,2026,pmoore@yahoo.com
eb74aad0,did:ethr:0x09b9db6e037750a52aac6ef8cd44dd37a101c4c0,Leslie Ortega,B.Sc. Information Technology,2026,owillis@yahoo.com
d3e2e9ca,did:ethr:0xd5373342d90c8c7b4ebd4ec4e6bdd6dba45f8242,Alejandro Bennett,B.Sc. Information Technology,2026,kempchristopher@yahoo.com
0bd3fed7,did:ethr:0x5af487dcdaa258eb6d878d80b0b093e6e3cb4319,Michael Clark,B.Sc. Information Technology,2026,michaelgarcia@gmail.com
d6e68746,did:ethr:0x44c4d402bc118dc87b71d32252846cd700d29f3d,Jessica Franklin,B.Sc. Information Technology,2026,garrettblake@yahoo.com
c1e08524,did:ethr:0x2a9e79e5eeb860a0969777e2b10daffe43f8bd61,Patrick Murphy,B.Sc. Information Technology,2026,samantha93@hotmail.com
7391f5d8,did:ethr:0xf52d3025b4ef3fe76e1cf6620464de8196cb9fab,Terrance Castillo,B.Sc. Information Technology,2026,gallegostyrone@yahoo.com
069e6e3f,did:ethr:0xe5447fd9a5f1b6d3aaf987d03afc8d905d1d42de,Judith Wilson,B.Sc. Information Technology,2026,osampson@gmail.com
1523ca83,did:ethr:0xe5a1f7712e9c7b17c7cec6e88952a25ad91f1eaa,Tonya Jacobs,B.Sc. Information Technology,2026,anthony80@gmail.com
25687e8d,did:ethr:0x55bf164f827a36e2a13b036ccdc176d62ac65d4f,Michael Miles,B.Sc. Information Technology,2026,chelsea99@yahoo.com
3b01757c,did:ethr:0xf3913870fe4124dd3e18b06081eedf28ff686c78,Megan Long,B.Sc. Information Technology,2026,scottsilva@yahoo.com
bd30c7a2,did:ethr:0x8dd0b5ca38c728b79cde971c914dde31e7bf51a9,Christopher White,B.Sc. Information Technology,2026,hthompson@gmail.com
08edb49e,did:ethr:0xa3e6935de6038e7a824d9be103315681cfb27a08,Maxwell Wheeler,B.Sc. Information Technology,2026,katrina60@yahoo.com
ee7e99cb,did:ethr:0x7c51424057c6f74eb2868202f6bb160e8b367dd7,Joseph Hernandez,B.Sc. Information Technology,2026,alexis19@yahoo.com
18d2881b,did:ethr:0x1637d9bef8e07cc1956d476de409288912e5d38b,Johnny Jackson,B.Sc. Information Technology,2026,wardtanya@gmail.com
a3a56756,did:ethr:0x8779607b17897fe073a30c9cc10d0f328816d784,Belinda Mathis,B.Sc. Information Technology,2026,bishopkimberly@yahoo.com
ba19301a,did:ethr:0xa977e38f9335e69e95c69915f4bd939fd1f03422,Shane Carey,B.Sc. Information Technology,2026,joshua57@hotmail.com
77270285,did:ethr:0xe4f72ff3537947369859e78b7615975fa1b1d035,Mark Hunt,B.Sc. Information Technology,2026,catherine76@gmail.com
b3f11369,did:ethr:0x070c5474eb09567f3419a0776b156e378b118d22,Brenda Hernandez,B.Sc. Information Technology,2026,bailey96@hotmail.com
713df353,did:ethr:0x26623068a87490e65941acd7a3c784208e5eed1d,Deborah Murphy,B.Sc. Information Technology,2026,jpatterson@yahoo.com
cf9aac5c,did:ethr:0x5f0cfd9c1a43f6cc047966b0a1af2f5899c69c60,Phillip Bell,B.Sc. Information Technology,2026,rebeccamontgomery@yahoo.com
04cf0048,did:ethr:0x7d056830c22361d9399a594860c1190c55021ed1,Allison Ellis,B.Sc. Information Technology,2026,robert52@hotmail.com
22b7e7f9,did:ethr:0xac0f0b73c232284afb04181fd6dae196310af1e4,Dominique Hancock,B.Sc. Information Technology,2026,cherylbarnes@hotmail.com
11e7060a,did:ethr:0xa349febdb023738215e524d1a206443a182271e1,Jermaine Huffman,B.Sc. Information Technology,2026,sarah50@yahoo.com
e86cf01e,did:ethr:0xaeb8f9e86622c3a9af2fb1ea7d086998d7a6e58d,Rachel Mckinney,B.Sc. Information Technology,2026,sgarrison@gmail.com
e0560d1f,did:ethr:0xd0a841f6816c0008f86dcf047732f1a8fca8c52a,Benjamin Martinez,B.Sc. Information Technology,2026,alexhill@gmail.com
8d59fa3b,did:ethr:0xad323582a7c276db2f32bd1add0d62a85768683f,Kristina Cole,B.Sc. Information Technology,2026,hriddle@hotmail.com
2705822e,did:ethr:0x9ca4a83973b61b7cc402ff6ec8f2fb4ed428f52f,Ronald Martin,B.Sc. Information Technology,2026,badams@hotmail.com
c5eeab45,did:ethr:0x65873b3d3423315c946e1206e1075110eafc397f,Heather Bautista,B.Sc. Information Technology,2026,kimberly35@yahoo.com
a0e09198,did:ethr:0x82c540b5744d99c7f65cdbd6446052553c8d6f42,Jessica Mendoza,B.Sc. Information Technology,2026,ashleysilva@gmail.com
36179694,did:ethr:0xb1f2a3b0e4b321f6eb794cb602e515f6ad3aa930,Bruce Monroe,B.Sc. Information Technology,2026,mary38@gmail.com
efda44e8,did:ethr:0xf9b95fb14048e1b9b7534ac6ef1cc824bbc96b77,Cassandra Moore,B.Sc. Information Technology,2026,aaron62@gmail.com
b17aea35,did:ethr:0xa509a3e779ba10ea3d0e0689d8855907e925d345,William Bird,B.Sc. Information Technology,2026,jesse04@yahoo.com
543a04d3,did:ethr:0xd8bec3122d844acebfc1282c8c00e71b9fc92722,Allen Johnson,B.Sc. Information Technology,2026,kelseysmith@gmail.com
75f3add5,did:ethr:0x8d9465810a1479996330ccc2b38fec29d03a1cdb,Austin Scott,B.Sc. Information Technology,2026,pdavis@yahoo.com
f582c271,did:ethr:0x15066a9791afd594e4e7e848329c94afc748d412,Sarah Goodman,B.Sc. Information Technology,2026,thompsoncarlos@yahoo.com
90e4ac12,did:ethr:0x0c7bbd3bdca2db73ae1396f09a168d2fafcae364,Katelyn Tucker,B.Sc. Information Technology,2026,derek63@hotmail.com
2445729f,did:ethr:0xcd2f6abc951bb2fe919cfa0e36628b30039b13dd,Marco Mckee,B.Sc. Information Technology,2026,kyle43@hotmail.com
44dba7de,did:ethr:0xcab6636ab0617482a5ff48a50ead44cadc5bab74,Daniel Hayes,B.Sc. Information Technology,2026,michaelrose@gmail.com
84b072af,did:ethr:0x61ac1bd2d39d304737117d2522ff97e740b15457,Julie Ford,B.Sc. Information Technology,2026,andrewwaller@yahoo.com
881da844,did:ethr:0xba865af70d876b2f30a19d1d7d504ae45b7de797,William Jackson,B.Sc. Information Technology,2026,linda88@yahoo.com
81b2eb0b,did:ethr:0x0a563afd99e5edeeca38c8182f203788c0e73e80,Robert Pittman,B.Sc. Information Technology,2026,hobbsdavid@gmail.com
f85fe96b,did:ethr:0x46642bef9df39ce05e02a9f9a8a1be15e2b38e49,Vincent Herrera,B.Sc. Information Technology,2026,qholt@hotmail.com
